ADDRESS,NEIGHBOURHOOD_NAME,WARD,ZONING,SECTOR,SIZE (m2),TYPOLOGY,KNOWN PLANNING APPLICATIONS,OWNERSHIP_TYPE,GROUPS,LATITUDE,LONGITUDE,LOCATION,Geometry Point
9531 101 AVENUE NW,Riverdale,6,RA8,Central,293.022,Central Core,NA,PRIVATE,,53.5428470718791,-113.479300442238,"(53.5428470718791, -113.479300442238)",POINT (-113.479300442238 53.5428470718791)
10412 156 STREET NW,Britannia Youngstown,1,RA7,Central,724.033,Mature,1) Minor Development Permit: Job No 145537320-001: To demolish a Single Detached House,PRIVATE,,53.5469384473617,-113.590843906474,"(53.5469384473617, -113.590843906474)",POINT (-113.590843906474 53.5469384473617)
9542 107A AVENUE NW,McCauley,6,RA7,Central,375.13,Central Core,NA,PRIVATE,46,53.5537913111978,-113.485738501917,"(53.5537913111978, -113.485738501917)",POINT (-113.485738501917 53.5537913111978)
11008 86 AVENUE NW,Garneau,8,RF6,Central,399.746,Central Core,NA,PRIVATE,,53.5222152293047,-113.515455489484,"(53.5222152293047, -113.515455489484)",POINT (-113.515455489484 53.5222152293047)
12304 49 STREET NW,Bergman,7,RF1,Central,287.664,Mature,NA,PRIVATE,139,53.5786743977188,-113.417280009215,"(53.5786743977188, -113.417280009215)",POINT (-113.417280009215 53.5786743977188)
4802 118 AVENUE NW,Beacon Heights,7,CB2,Central,292.663,Mature,1) Sign Development Permit: Job No 122494-005: To extend the duration of an Off-Premises Freestanding General Advertising Sign (two sided facing east/west),PRIVATE,150,53.5706190221577,-113.415852690244,"(53.5706190221577, -113.415852690244)",POINT (-113.415852690244 53.5706190221577)
10727 96 STREET NW,McCauley,6,RA7,Central,307.504,Central Core,NA,PRIVATE,,53.5532109730269,-113.486191225134,"(53.5532109730269, -113.486191225134)",POINT (-113.486191225134 53.5532109730269)
9815 147 STREET NW,Crestwood,1,RF1,Central,688.228,Mature,"1) Minor Development Permit: Job No 134768331-001: To demolish a single detached house and a detached garage. 2) House Development Permit: Job No 136087136-001: To construct a single detached house with a front covered entry, rear covered deck ( 4.88m x 3.96m),fireplace and basement development. Basement development includes; 1 bedroom guest suite c/w ensuite & w/i closet & laundry room, 1 bathroom, 1 wine room, 1 exercise room, 1 utility room/storage, 1 games area, 1 sitting area, 1 bar. 3) Accessory Building Development Permit: Job No 136087136-002: To construct an Accessory Building (Detached Garage) 4) Accessory Building Development Permit: Job No 140252997-001: To construct an Accessory Building (Rear Detached Garage - 8.4m x 9.8m)",PRIVATE,,53.5366569183204,-113.575112996503,"(53.5366569183204, -113.575112996503)",POINT (-113.575112996503 53.5366569183204)
11821 97 STREET NW,Alberta Avenue,7,CNC,Central,382.519,Mature,NA,PRIVATE,108,53.5710811704937,-113.491520272304,"(53.5710811704937, -113.491520272304)",POINT (-113.491520272304 53.5710811704937)
98 WIZE COURT NW,Oleskiw,5,RF1,West,1916.991,Established,NA,PRIVATE,,53.4980966596885,-113.596608992112,"(53.4980966596885, -113.596608992112)",POINT (-113.596608992112 53.4980966596885)
11250 109 AVENUE NW,Queen Mary Park,6,CNC,Central,482.901,Central Core,NA,PRIVATE,,53.5549544997789,-113.515353174705,"(53.5549544997789, -113.515353174705)",POINT (-113.515353174705 53.5549544997789)
8616 175 STREET NW,Thorncliff,5,RF1,West,765.05,Established,NA,PRIVATE,202,53.5197768491515,-113.624486394204,"(53.5197768491515, -113.624486394204)",POINT (-113.624486394204 53.5197768491515)
6625 101 AVENUE NW,Terrace Heights,8,US,Central,1369.716,Mature,NA,MUNICIPAL,,53.5408130588866,-113.432346910053,"(53.5408130588866, -113.432346910053)",POINT (-113.432346910053 53.5408130588866)
9614 104 STREET NW,Rossdale,6,DC1,Central,425.563,Central Core,NA,MUNICIPAL,,53.5329288582037,-113.499636035617,"(53.5329288582037, -113.499636035617)",POINT (-113.499636035617 53.5329288582037)
15065 125 STREET NW,Baranow,2,IB,North,4903.156,Established,NA,PRIVATE,195,53.612844194585,-113.537638740377,"(53.612844194585, -113.537638740377)",POINT (-113.537638740377 53.612844194585)
10619 95 STREET NW,McCauley,6,RA7,Central,373.676,Central Core,NA,PRIVATE,52,53.5518601712755,-113.482010223807,"(53.5518601712755, -113.482010223807)",POINT (-113.482010223807 53.5518601712755)
10723 93 STREET NW,McCauley,6,RA7,Central,284.048,Central Core,NA,PRIVATE,43,53.5542894593536,-113.479816153605,"(53.5542894593536, -113.479816153605)",POINT (-113.479816153605 53.5542894593536)
8210 112 AVENUE NW,Cromdale,7,CB1,Central,1500.961,Mature,NA,PRIVATE,,53.5614320419382,-113.467826963991,"(53.5614320419382, -113.467826963991)",POINT (-113.467826963991 53.5614320419382)
10136 CLIFTON PLACE NW,Westmount,6,DC2,Central,132.836,Mature,NA,MUNICIPAL,97,53.5420256539382,-113.538729446537,"(53.5420256539382, -113.538729446537)",POINT (-113.538729446537 53.5420256539382)
12620 118 AVENUE NW,Prince Charles,2,CB1,Central,718.364,Mature,1) Sign Development Permit: Job No 455827-005: To extend the duration of an Off-Premise Freestanding general advertising sign. (two sided - facing East/West),PRIVATE,130,53.5706320749228,-113.540721802097,"(53.5706320749228, -113.540721802097)",POINT (-113.540721802097 53.5706320749228)
8224 JASPER AVENUE NW,Cromdale,7,DC2,Central,696.25,Mature,NA,PRIVATE,124,53.5567526909612,-113.468483848454,"(53.5567526909612, -113.468483848454)",POINT (-113.468483848454 53.5567526909612)
11343 95 STREET NW,Alberta Avenue,7,CNC,Central,367.884,Mature,NA,PRIVATE,,53.5636736704718,-113.48673772935,"(53.5636736704718, -113.48673772935)",POINT (-113.48673772935 53.5636736704718)
14314 STONY PLAIN ROAD NW,Grovenor,6,RF3,Central,764.513,Mature,NA,MUNICIPAL,157,53.5430332936759,-113.568066461539,"(53.5430332936759, -113.568066461539)",POINT (-113.568066461539 53.5430332936759)
10323 93 STREET NW,Boyle Street,6,DC1,Central,374.543,Central Core,NA,PRIVATE,2,53.5482937588619,-113.476417374424,"(53.5482937588619, -113.476417374424)",POINT (-113.476417374424 53.5482937588619)
10349 122 STREET NW,Oliver,6,RA7,Central,524.963,Central Core,NA,PRIVATE,63,53.5461128090204,-113.531937721284,"(53.5461128090204, -113.531937721284)",POINT (-113.531937721284 53.5461128090204)
10572 103 STREET NW,Central McDougall,6,DC1,Central,696.77,Central Core,"1) To rezone form DC1 to DC1, bylaw # 16852",PRIVATE,29,53.5493699741192,-113.497927275619,"(53.5493699741192, -113.497927275619)",POINT (-113.497927275619 53.5493699741192)
12410 49 STREET NW,Bergman,7,AGU,Central,287.634,Mature,NA,PRIVATE,137,53.580326641307,-113.417277822469,"(53.580326641307, -113.417277822469)",POINT (-113.417277822469 53.580326641307)
12380 121 STREET NW,Edmonton City Centre Airport,2,IB,Central,19503.546,Special - Developing,"1) Major Development Permit: Job No 138169533-001: To construct a General Industrial and Professional/Finance/Office Support building (plastics production and administrative facility, Zeebest Plastices and additional office space).",PRIVATE,,53.5797749750957,-113.527407147301,"(53.5797749750957, -113.527407147301)",POINT (-113.527407147301 53.5797749750957)
12420 49 STREET NW,Bergman,7,AGU,Central,287.87,Mature,NA,PRIVATE,137,53.5806687182382,-113.417277466718,"(53.5806687182382, -113.417277466718)",POINT (-113.417277466718 53.5806687182382)
9314 105 AVENUE NW,Boyle Street,6,RA7,Central,374.408,Central Core,NA,PRIVATE,22,53.5503106839129,-113.478920837904,"(53.5503106839129, -113.478920837904)",POINT (-113.478920837904 53.5503106839129)
10550 95 STREET NW,McCauley,6,PU,Central,307.082,Central Core,NA,PRIVATE,53,53.5506912006724,-113.48221794282,"(53.5506912006724, -113.48221794282)",POINT (-113.48221794282 53.5506912006724)
10227 92 STREET NW,Riverdale,6,RF2,Central,324.434,Central Core,NA,PRIVATE,,53.5464431351381,-113.473629296668,"(53.5464431351381, -113.473629296668)",POINT (-113.473629296668 53.5464431351381)
10453 120 STREET NW,Oliver,6,CB2,Central,153.569,Central Core,"1) Major Development Permit: Job No 138740794-001: To construct 3 commercial buildings and a public trail and public park node along the north portion of the Site. No development to be constructed on 120 Street until the land transfer is complete. The buildings have the following proposed Uses: Building 1 - General Retail Store Building 4 - General Retail Store and Professional, Financial and Office Support Service Use Building 8 - Restaurant (Public Space??) and Professional, Financial and Office Support Service Use The development also includes an underground parkade on a portion of the Site. (The Brewery District)",PRIVATE,64,53.5459889212383,-113.529120239375,"(53.5459889212383, -113.529120239375)",POINT (-113.529120239375 53.5459889212383)
16026 100 AVENUE NW,Glenwood,1,RF1,Central,505.534,Mature,NA,PRIVATE,165,53.539560293791,-113.598725228763,"(53.539560293791, -113.598725228763)",POINT (-113.598725228763 53.539560293791)
12839 88 STREET NW,Killarney,7,RF4,Central,697.042,Mature,1) Minor Development Permit: Job No 142149680-001: To demolish a single detached house.,PRIVATE,,53.5874359775082,-113.475696574191,"(53.5874359775082, -113.475696574191)",POINT (-113.475696574191 53.5874359775082)
4811 124 AVENUE NW,Bergman,7,RF1,Central,4835.089,Mature,NA,PRIVATE,,53.5792975454643,-113.416405364828,"(53.5792975454643, -113.416405364828)",POINT (-113.416405364828 53.5792975454643)
9633 105A AVENUE NW,McCauley,6,CB1,Central,374.548,Central Core,NA,PRIVATE,,53.5493629402234,-113.486487976762,"(53.5493629402234, -113.486487976762)",POINT (-113.486487976762 53.5493629402234)
10405 106 AVENUE NW,Central McDougall,6,DC1,Central,696.96,Central Core,"1) To rezone form DC1 to DC1, bylaw # 16852",PRIVATE,,53.5496437218329,-113.499766881069,"(53.5496437218329, -113.499766881069)",POINT (-113.499766881069 53.5496437218329)
101 AIRPORT ROAD NW,Edmonton City Centre Airport,2,MA1,Central,18290,Special - Developing,1) Major Development Permit: Job No 134863518-001: To Change the Use from General Industrial to Business Support Services 2) Major Development Permit: Job No 134863518-001: To Change the Use from General Industrial to Business Support Services 3) Minor Development Permit: Job No 156972843-001: To demolish 5 existing Commercial/Industrial Use buildings (aircraft hangers and associated offices for Edmonton City Centre Airport),PRIVATE,,53.5793660344906,-113.529205653388,"(53.5793660344906, -113.529205653388)",POINT (-113.529205653388 53.5793660344906)
9518 105 STREET NW,Rossdale,6,DC1,Central,264.164,Central Core,NA,MUNICIPAL,80,53.5316037552434,-113.501409573023,"(53.5316037552434, -113.501409573023)",POINT (-113.501409573023 53.5316037552434)
9637 104 STREET NW,Rossdale,6,DC1,Central,696.206,Central Core,NA,MUNICIPAL,74,53.5333385616684,-113.498714292464,"(53.5333385616684, -113.498714292464)",POINT (-113.498714292464 53.5333385616684)
12447 47 STREET NW,Bergman,7,RSL,Central,576.267,Mature,NA,PRIVATE,142,53.5813208325957,-113.413328045224,"(53.5813208325957, -113.413328045224)",POINT (-113.413328045224 53.5813208325957)
10008 106 AVENUE NW,McCauley,6,DC2,Central,1402.965,Central Core,NA,PRIVATE,39,53.5501715290375,-113.492583544001,"(53.5501715290375, -113.492583544001)",POINT (-113.492583544001 53.5501715290375)
8204 106 AVENUE NW,Forest Heights,8,DC2,Central,383.409,Mature,1) Rezoning: To rezone from CNC to DC2 2) Major Development Permit: Job No 155390538-001: To construct 27 Dwellings of Apartment Housing with General Retail Stores on main floor.,PRIVATE,182,53.5494828576015,-113.454465774039,"(53.5494828576015, -113.454465774039)",POINT (-113.454465774039 53.5494828576015)
788 DRYSDALE RUN NW,Donsdale,5,RF1,West,691.489,Established,NA,PRIVATE,208,53.4827273303411,-113.638260399994,"(53.4827273303411, -113.638260399994)",POINT (-113.638260399994 53.4827273303411)
9247 93 STREET NW,Bonnie Doon,8,RF3,Central,390.438,Mature,NA,PRIVATE,186,53.5282621893624,-113.46948178743,"(53.5282621893624, -113.46948178743)",POINT (-113.46948178743 53.5282621893624)
512 HILLCREST POINT NW,Patricia Heights,5,RSL,Central,807.705,Mature,"1) House Development Permit: Job No 143794323-001: To construct a single detached house with front attached garage, front veranda, fireplace, 2nd Floor Rear Uncovered Deck (3.05m x 4.27m), and basement development (not to be used as a secondary suite).",PRIVATE,168,53.5043439362633,-113.591287039137,"(53.5043439362633, -113.591287039137)",POINT (-113.591287039137 53.5043439362633)
12705 118 STREET NW,Calder,2,CNC,Central,425.392,Mature,NA,PRIVATE,,53.5851242889098,-113.5247871442,"(53.5851242889098, -113.5247871442)",POINT (-113.5247871442 53.5851242889098)
10251 114 STREET NW,Oliver,6,RF6,Central,348.226,Central Core,NA,PRIVATE,,53.5441912853265,-113.517093248015,"(53.5441912853265, -113.517093248015)",POINT (-113.517093248015 53.5441912853265)
16058 95 AVENUE NW,Glenwood,1,RF1,Central,587.621,Mature,NA,PRIVATE,,53.5318675840938,-113.60158576681,"(53.5318675840938, -113.60158576681)",POINT (-113.60158576681 53.5318675840938)
10256 92 STREET NW,Boyle Street,6,DC1,Central,580.041,Central Core,NA,PRIVATE,6,53.5473913496049,-113.475116032164,"(53.5473913496049, -113.475116032164)",POINT (-113.475116032164 53.5473913496049)
10044 106 STREET NW,Downtown,6,CMU,Central,698.94,Central Core,NA,PRIVATE,90,53.5401903950275,-113.503442709715,"(53.5401903950275, -113.503442709715)",POINT (-113.503442709715 53.5401903950275)
12420 49 STREET NW,Bergman,7,AGU,Central,287.673,Mature,NA,PRIVATE,137,53.5806687182382,-113.417277466718,"(53.5806687182382, -113.417277466718)",POINT (-113.417277466718 53.5806687182382)
10219 92 STREET NW,Riverdale,6,RF2,Central,1577.781,Central Core,NA,PRIVATE,70,53.54640713007,-113.473272541906,"(53.54640713007, -113.473272541906)",POINT (-113.473272541906 53.54640713007)
11 HOMESTEAD CRESCENT NW,Overlanders,4,RA7,Northeast,1522.55,Established,NA,MUNICIPAL,,53.584900196266,-113.394240512091,"(53.584900196266, -113.394240512091)",POINT (-113.394240512091 53.584900196266)
10411 85 AVENUE NW,Strathcona,8,RF4,Central,252.975,Central Core,NA,PRIVATE,,53.5207138514565,-113.498243789528,"(53.5207138514565, -113.498243789528)",POINT (-113.498243789528 53.5207138514565)
10113 122 STREET NW,Oliver,6,DC1,Central,430.649,Central Core,NA,PRIVATE,62,53.5415164325027,-113.531931500363,"(53.5415164325027, -113.531931500363)",POINT (-113.531931500363 53.5415164325027)
10268 95 STREET NW,Boyle Street,6,DC1,Central,306.598,Central Core,NA,PRIVATE,5,53.5468273143361,-113.480075840325,"(53.5468273143361, -113.480075840325)",POINT (-113.480075840325 53.5468273143361)
9220 111 AVENUE NW,Alberta Avenue,7,CNC,Central,158.353,Mature,NA,PRIVATE,109,53.5607640466629,-113.483388070788,"(53.5607640466629, -113.483388070788)",POINT (-113.483388070788 53.5607640466629)
14328 STONY PLAIN ROAD NW,Grovenor,6,RF3,Central,439.908,Mature,NA,MUNICIPAL,157,53.5429578726334,-113.568753254101,"(53.5429578726334, -113.568753254101)",POINT (-113.568753254101 53.5429578726334)
3518 25 STREET NW,Wild Rose,12,RSL,Southeast,491.922,Established,NA,PRIVATE,,53.469657856794,-113.380299109829,"(53.469657856794, -113.380299109829)",POINT (-113.380299109829 53.469657856794)
12133 97 STREET NW,Alberta Avenue,7,CNC,Central,357.254,Mature,"1) Major Development Permit: Job No 140222506-001: To construct a Rapid Drive-through Vehicle Services Use and General Retail Stores Use building - 97th Street Car Wash 2) Job No 144821268-001: To construct a two-storey commercial building with General Retail Stores, Convenience Retail Stores, and Health Services Uses.",PRIVATE,108,53.5763037876861,-113.491526579198,"(53.5763037876861, -113.491526579198)",POINT (-113.491526579198 53.5763037876861)
12127 81 STREET NW,Eastwood,7,RF3,Central,350.08,Mature,NA,PRIVATE,,53.5759667670473,-113.464972630451,"(53.5759667670473, -113.464972630451)",POINT (-113.464972630451 53.5759667670473)
8716 150 STREET NW,Jasper Park,1,RF1,Central,824.357,Mature,NA,PRIVATE,163,53.5201683572786,-113.58028845411,"(53.5201683572786, -113.58028845411)",POINT (-113.58028845411 53.5201683572786)
11119 106 STREET NW,Spruce Avenue,2,RF3,Central,539.603,Mature,NA,MUNICIPAL,,53.5595644342612,-113.502310218035,"(53.5595644342612, -113.502310218035)",POINT (-113.502310218035 53.5595644342612)
9556 103 AVENUE NW,Boyle Street,6,DC1,Central,374.378,Central Core,NA,PRIVATE,,53.5468127917995,-113.482539169642,"(53.5468127917995, -113.482539169642)",POINT (-113.482539169642 53.5468127917995)
9345 74 AVENUE NW,Ritchie,11,RF3,Central,606.646,Mature,1) Minor Development Permit: Job No 142351807-001: To demolish the existing Single Detached House with Attached Garage (84.36 sqm),PRIVATE,,53.5101119488483,-113.472598867052,"(53.5101119488483, -113.472598867052)",POINT (-113.472598867052 53.5101119488483)
9825 103 STREET NW,Downtown,6,HDR,Central,142.082,Central Core,NA,PRIVATE,,53.5361889032024,-113.496777107182,"(53.5361889032024, -113.496777107182)",POINT (-113.496777107182 53.5361889032024)
101 AIRPORT ROAD NW,Edmonton City Centre Airport,2,MA1,Central,2466.3,Special - Developing,1) Major Development Permit: Job No 134863518-001: To Change the Use from General Industrial to Business Support Services 2) Major Development Permit: Job No 134863518-001: To Change the Use from General Industrial to Business Support Services 3) Minor Development Permit: Job No 156972843-001: To demolish 5 existing Commercial/Industrial Use buildings (aircraft hangers and associated offices for Edmonton City Centre Airport),MUNICIPAL,,53.5793660344906,-113.529205653388,"(53.5793660344906, -113.529205653388)",POINT (-113.529205653388 53.5793660344906)
15403 92 AVENUE NW,Jasper Park,1,RF1,Central,630.24,Mature,1) Minor Development Permit: Job No 144014334-001: To demolish a Single Detached House.,PRIVATE,,53.5265359245365,-113.587271484313,"(53.5265359245365, -113.587271484313)",POINT (-113.587271484313 53.5265359245365)
9629 105 STREET NW,Rossdale,6,DC1,Central,699.249,Central Core,NA,MUNICIPAL,81,53.5333415635634,-113.500552744451,"(53.5333415635634, -113.500552744451)",POINT (-113.500552744451 53.5333415635634)
4402 118 AVENUE NW,Beacon Heights,7,CB1,Central,293.125,Mature,NA,PRIVATE,148,53.57062611946,-113.409518113848,"(53.57062611946, -113.409518113848)",POINT (-113.409518113848 53.57062611946)
9550 108 AVENUE NW,McCauley,6,RF6,Central,3096.949,Central Core,NA,PRIVATE,,53.5546568267552,-113.48615507212,"(53.5546568267552, -113.48615507212)",POINT (-113.48615507212 53.5546568267552)
1003 DOWNEY WAY NW,Donsdale,5,RF1,West,726.771,Established,"1) House Development Permit: Job No 157429738-001: To construct a Single Detached House with a front attached garage, rear uncovered deck (4.58 X 5.64m), fireplace and Basement development",PRIVATE,,53.4829677374463,-113.637552570445,"(53.4829677374463, -113.637552570445)",POINT (-113.637552570445 53.4829677374463)
12808 WOODBEND PLACE NW,Westmount,6,RF3,Central,1917.546,Mature,NA,PRIVATE,96,53.5468210896575,-113.543678524879,"(53.5468210896575, -113.543678524879)",POINT (-113.543678524879 53.5468210896575)
10216 96 STREET NW,Boyle Street,6,DC1,Central,307.158,Central Core,NA,PRIVATE,18,53.5451662745381,-113.483178976208,"(53.5451662745381, -113.483178976208)",POINT (-113.483178976208 53.5451662745381)
