Genus Name,Species Name,Common Name,species,bio01,bio02,bio03,bio04,bio05,bio06,bio12,bio16,bio17,embergerQ
Acacia,brachybotrya,Grey Mulga,Acacia brachybotrya,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,bussei,Wattles,Acacia bussei,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,buxifolia,Box-leaf Wattle,Acacia buxifolia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,calamifolia,Wallowa,Acacia calamifolia,16.49,12.81,49.21,499.34,30.79,4.67,380.76,131.74,61.8,51.36
Acacia,cambagei,Gidgee,Acacia cambagei,22.14,14.07,46.67,597.92,36.73,6.51,340.57,149.99,42.87,38.91
Acacia,cardiophylla,Wyalong wattle,Acacia cardiophylla,16.16,12.69,45.88,561.23,30.81,3.13,590.81,172.28,122.16,76.0
Acacia,caroleae,Narrow-leaf Currawang,Acacia caroleae,18.45,13.5,48.53,539.94,31.85,4.02,657.44,251.45,106.8,81.51
Acacia,caven,Roman cassie,Acacia caven,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,celastrifolia,Glowing Wattle,Acacia celastrifolia,16.77,13.07,50.7,481.14,31.6,5.8,599.53,304.53,44.69,81.33
Acacia,choriophylla,Cinnecord,Acacia choriophylla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,chrysella,Acacia chrysella,Acacia chrysella,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,cochlearis,Rigid Wattle,Acacia cochlearis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,colletioides,Wait-a-while,Acacia colletioides,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,complanata,Long Pod Wattle,Acacia complanata,19.29,10.74,49.03,410.55,29.16,7.3,1074.38,427.61,121.19,176.21
Acacia,concurrens,Curracabah,Acacia concurrens,18.97,10.52,49.43,396.54,28.58,7.35,1160.48,453.36,132.0,192.14
Acacia,conferta,Crowded-leaf Wattle,Acacia conferta,18.81,13.39,49.02,522.03,31.86,4.53,658.71,256.87,99.29,83.13
Acacia,confusa,Small philippine acacia,Acacia confusa,21.56,6.5,36.35,436.77,30.33,11.88,2161.69,979.0,207.36,413.47
Acacia,constricta,Whitethorn acacia,Acacia constricta,17.74,16.48,51.5,612.89,33.94,1.29,339.4,178.43,22.22,37.72
Acacia,coriacea,Wirewood,Acacia coriacea,24.38,14.4,50.36,529.55,38.05,9.35,350.38,187.83,19.99,41.68
Acacia,cornigera,Bullhorn wattle,Acacia cornigera,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,cowleana,Halls Creek Wattle,Acacia cowleana,24.21,14.1,50.38,504.55,37.0,8.91,482.21,284.9,22.39,59.54
Acacia,craspedocarpa,Hop Mulga,Acacia craspedocarpa,21.24,14.01,44.45,644.66,37.73,6.22,244.97,93.03,26.36,26.35
Acacia,crassicarpa,Thick-podded Salwood,Acacia crassicarpa,25.25,8.4,58.65,202.49,32.14,17.63,1670.98,1025.17,60.81,423.68
Acacia,cultriformis,Knife-leaf Wattle,Acacia cultriformis,16.52,12.72,48.08,515.96,29.95,3.46,701.61,240.52,124.84,93.55
Acacia,curranii,Curly-bark Wattle,Acacia curranii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,curvinervia,Acacia curvinervia,Acacia curvinervia,22.1,13.18,51.61,455.78,33.63,8.05,613.0,303.6,53.66,83.07
Acacia,cyclops,Cyclops acacia,Acacia cyclops,16.86,10.71,52.62,357.85,27.76,7.35,492.43,204.46,56.5,86.78
Acacia,cyperophylla,Red Mulga,Acacia cyperophylla,23.24,14.11,45.28,629.6,38.54,7.34,231.92,107.74,22.58,25.3
Acacia,dawsonii,Poverty wattle,Acacia dawsonii,13.49,12.48,47.63,506.14,27.11,0.92,769.44,249.95,142.14,103.16
Acacia,dealbata,Silver wattle,Acacia dealbata,12.27,10.04,45.32,442.83,24.57,2.28,941.65,316.07,153.59,153.74
Acacia,deanei,Deane's Wattle,Acacia deanei,17.05,13.17,46.79,564.16,31.49,3.33,611.24,203.15,116.74,75.46
Acacia,decora,Showy Wattle,Acacia decora,17.01,13.02,47.49,542.5,30.99,3.53,661.45,227.66,119.35,84.22
Acacia,decurrens,Green acacia,Acacia decurrens,15.45,11.05,50.04,409.62,26.64,4.34,921.98,319.24,148.62,150.25
Acacia,dempsteri,Acacia dempsteri,Acacia dempsteri,17.09,13.31,50.98,470.61,31.21,5.04,300.54,92.08,57.54,39.68
Acacia,desmondii,Des Nelson Wattle,Acacia desmondii,22.01,15.3,47.01,636.31,37.56,5.02,245.96,101.42,25.65,25.75
Acacia,dictyophleba,Sandhill Wattle,Acacia dictyophleba,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,difformis,Drooping Wattle,Acacia difformis,15.69,13.0,46.47,558.92,30.89,2.9,576.78,175.88,112.01,71.33
Acacia,dodonaeifolia,Hop-leaved Wattle,Acacia dodonaeifolia,15.62,10.22,50.01,370.81,27.09,6.69,536.19,225.14,60.15,92.3
Acacia,doratoxylon,Currawang,Acacia doratoxylon,16.44,12.74,45.6,570.18,31.07,3.14,588.16,182.75,117.81,73.5
Acacia,dunnii,Elephant-ear Wattle,Acacia dunnii,27.61,13.49,58.03,302.71,37.73,14.45,946.83,631.07,6.02,139.25
Acacia,elata,Cedar wattle,Acacia elata,15.26,9.64,47.09,396.83,25.49,5.03,1119.73,399.22,176.03,191.86
Acacia,elongata,Swamp Wattle,Acacia elongata,16.38,10.35,48.38,407.27,26.61,5.28,1037.8,353.49,166.13,173.6
Acacia,ensifolia,Sickle-shaped Acacia,Acacia ensifolia,22.31,13.73,45.41,613.36,36.7,6.45,371.54,161.72,43.25,41.85
Acacia,excelsa,Ironwood,Acacia excelsa,20.5,13.44,47.16,564.77,34.34,5.75,484.67,198.5,68.74,59.29
Acacia,extensa,Wiry Wattle,Acacia extensa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,falcata,Burra,Acacia falcata,17.52,10.89,49.25,416.15,27.94,5.88,1006.87,363.66,148.01,162.07
Acacia,falciformis,Large-leaf Hickory Wattle,Acacia falciformis,13.38,10.53,47.45,426.23,24.83,2.64,895.11,289.27,163.31,143.15
Acacia,farnesiana,Sweet acacia,Acacia farnesiana,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,filifolia,Acacia filifolia,Acacia filifolia,18.21,13.83,49.03,547.17,34.08,5.88,348.54,155.54,38.96,42.26
Acacia,fimbriata,Fringed Wattle,Acacia fimbriata,17.25,10.66,48.73,415.9,27.5,5.66,1077.01,410.78,141.39,175.16
Acacia,flavescens,Red Wattle,Acacia flavescens,22.6,9.51,52.93,304.16,30.87,12.84,1388.5,784.2,80.73,283.03
Acacia,floribunda,Gossamer wattle,Acacia floribunda,16.33,10.18,48.32,398.42,26.42,5.41,1074.34,377.47,162.82,180.96
Acacia,frigescens,Montane Wattle,Acacia frigescens,10.72,8.66,43.4,402.53,22.11,2.16,1137.44,347.7,217.82,199.85
Acacia,gillii,Gill's Wattle,Acacia gillii,16.25,11.2,51.68,384.8,28.21,6.56,476.63,216.44,46.06,76.68
Acacia,gladiiformis,Sword-leaf Wattle,Acacia gladiiformis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,grasbyi,Minni Ritchie,Acacia grasbyi,21.8,14.34,46.64,611.15,38.04,7.26,255.81,110.3,23.3,28.17
Acacia,greggii,Catclaw acacia,Acacia greggii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,greggii v. wrightii,Wright acacia,Acacia greggii v. wrightii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,hakeoides,Hakea-leaved Wattle,Acacia hakeoides,16.7,13.03,48.81,515.8,31.22,4.44,441.55,146.77,76.84,56.68
Acacia,harpophylla,Brigalow,Acacia harpophylla,19.93,13.72,48.9,539.98,33.4,5.25,593.03,234.93,87.56,73.53
Acacia,havilandiorum,Haviland's Wattle,Acacia havilandiorum,17.35,13.14,45.24,599.07,32.54,3.51,420.25,125.81,87.97,49.8
Acacia,hemignosta,Club-leaf Wattle,Acacia hemignosta,26.39,13.44,56.05,351.59,37.1,12.94,837.06,551.84,9.89,125.16
Acacia,heteroclita,Acacia heteroclita,Acacia heteroclita,16.18,12.12,53.47,406.04,28.9,6.08,465.6,186.73,57.64,75.5
Acacia,holosericea,Silver-leaf Wattle,Acacia holosericea,26.12,12.73,56.25,325.64,36.19,13.46,940.89,612.39,14.48,151.41
Acacia,howittii,Sticky Wattle,Acacia howittii,13.19,9.89,47.65,379.96,24.92,4.14,871.17,268.19,159.49,147.69
Acacia,humifusa,Acacia humifusa,Acacia humifusa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,implexa,Lightwood,Acacia implexa,15.39,11.3,47.95,451.39,27.54,3.98,865.34,295.28,145.85,132.19
Acacia,irrorata,Green Wattle,Acacia irrorata,16.67,9.79,47.78,397.35,26.36,5.9,1164.12,425.72,162.71,199.86
Acacia,iteaphylla,Flinders range wattle,Acacia iteaphylla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,ixiophylla,Acacia ixiophylla,Acacia ixiophylla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,jennerae,Coonavittra Wattle,Acacia jennerae,19.82,14.15,47.52,577.29,35.14,5.33,275.48,106.82,38.3,31.73
Acacia,johnsonii,Gereera Wattle,Acacia johnsonii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,jucunda,Yetman Wattle,Acacia jucunda,18.97,13.68,49.07,530.23,32.17,4.3,636.95,252.85,90.95,78.72
Acacia,julifera,Julie's Wattle,Acacia julifera,22.47,12.04,52.46,389.43,32.83,9.91,819.59,449.56,54.32,128.12
Acacia,juncifolia,Rush-leaf Wattle,Acacia juncifolia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,kempeana,Witchetty Bush,Acacia kempeana,21.78,14.86,47.56,601.49,36.9,5.63,283.99,126.97,28.74,30.9
Acacia,kettlewelliae,Buffalo Wattle,Acacia kettlewelliae,11.02,10.91,44.65,488.55,24.45,0.07,1051.92,343.63,184.05,152.92
Acacia,koa,Koa,Acacia koa,18.2,8.47,65.68,145.91,24.44,11.56,1639.75,651.23,190.96,447.93
Acacia,koaia,Koaoha,Acacia koaia,20.16,8.04,63.86,147.87,26.19,13.76,1478.85,615.15,176.31,421.81
Acacia,lahai,Red thorn acacia,Acacia lahai,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,latzii,Latz's Wattle,Acacia latzii,21.61,15.12,45.89,638.4,37.45,4.54,249.26,96.29,34.79,25.66
Acacia,leichhardtii,Leichhardt's Wattle,Acacia leichhardtii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,leiocalyx,Early Flower Black Wattle,Acacia leiocalyx,18.9,12.14,49.28,467.51,30.47,5.83,870.99,340.39,118.1,128.85
Acacia,leptostachya,Townsville Wattle,Acacia leptostachya,22.44,11.88,52.98,381.69,32.66,10.16,873.82,511.96,45.64,143.81
Acacia,leucoclada,Northern Silver Wattle,Acacia leucoclada,16.26,12.72,47.92,519.93,29.57,3.02,764.48,268.41,130.81,101.59
Acacia,ligulata,Dune Wattle,Acacia ligulata,18.98,13.58,48.66,536.5,33.73,5.68,293.79,109.23,42.57,37.58
Acacia,linifolia,Flax-leaved Wattle,Acacia linifolia,16.35,10.0,47.85,403.03,26.24,5.39,1080.85,380.14,173.75,182.32
Acacia,loderi,Broken Hill Gidgee,Acacia loderi,18.63,14.12,47.48,587.8,34.3,4.55,282.8,84.5,59.0,32.53
Acacia,longifolia,Sydney golden wattle,Acacia longifolia,15.59,9.46,47.65,377.2,25.67,5.85,981.83,338.56,153.95,174.9
Acacia,longifolia ssp. longifolia,Sallow wattle,Acacia longifolia ssp. longifolia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,longifolia ssp. sphorae,Coastal wattle,Acacia longifolia ssp. sphorae,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,longiphyllodinea,Yalgoo,Acacia longiphyllodinea,19.73,14.23,48.77,565.03,36.03,6.85,339.67,162.84,31.8,39.55
Acacia,longispicata,Slender-flowered Wattle,Acacia longispicata,21.14,13.33,50.96,474.1,33.1,6.89,647.32,320.31,59.65,86.11
Acacia,longissima,Long-leaf Wattle,Acacia longissima,17.27,9.59,47.92,383.61,26.59,6.63,1245.86,448.64,176.33,218.96
Acacia,lucasii,Woolly-bear Wattle,Acacia lucasii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,maconochieana,Mullan Wattle,Acacia maconochieana,25.49,14.26,50.56,506.05,38.08,9.92,454.05,279.73,13.95,54.77
Acacia,macradenia,Zig-zag Wattle,Acacia macradenia,19.99,13.25,49.7,499.15,32.3,5.64,658.93,285.27,77.07,87.13
Acacia,maidenii,Maiden's Wattle,Acacia maidenii,17.16,9.76,48.32,386.89,26.62,6.46,1232.13,456.53,165.45,214.76
Acacia,maitlandii,Maitland's Wattle,Acacia maitlandii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,mangium,brown salwood,Acacia mangium,24.79,8.65,64.93,170.12,31.4,17.6,2138.02,1049.7,169.58,561.74
Acacia,mearnsii,Black wattle,Acacia mearnsii,13.98,10.55,49.6,381.16,25.61,4.28,785.23,256.72,134.53,131.82
Acacia,meisneri,Blue Wattle,Acacia meisneri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,melanoxylon,Blackwood,Acacia melanoxylon,13.17,9.6,47.69,374.23,24.25,4.12,1004.9,345.06,156.49,182.3
Acacia,melleodora,Waxy Wattle,Acacia melleodora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,microbotrya,Manna Wattle,Acacia microbotrya,17.78,13.39,50.55,500.54,32.79,6.24,427.31,201.08,42.15,56.11
Acacia,millefolia,Milfoil wattle,Acacia millefolia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,montana,Mallee Wattle,Acacia montana,15.63,12.78,47.51,523.36,30.36,3.43,514.76,161.89,96.23,66.4
Acacia,monticola,Scratchy Wattle,Acacia monticola,25.51,14.02,51.52,477.99,37.87,10.5,497.68,317.95,14.37,63.64
Acacia,mucronata,Narrow-leaf Wattle,Acacia mucronata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,muelleriana,Mueller's Wattle,Acacia muelleriana,17.87,12.62,47.78,515.62,30.63,4.23,647.43,242.93,102.18,84.7
Acacia,muricata,Spineless wattle,Acacia muricata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,murrayana,Murray's Wattle,Acacia murrayana,21.31,14.61,46.46,622.5,36.9,5.45,268.51,104.84,36.72,29.39
Acacia,myrtifolia,Myrtle Wattle,Acacia myrtifolia,14.61,9.56,48.35,367.4,25.25,5.51,915.25,324.94,138.76,164.74
Acacia,neovernicosa,Viscid acacia,Acacia neovernicosa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,neriifolia,Bastard Yarran,Acacia neriifolia,16.32,12.48,48.24,505.54,28.99,3.13,769.96,287.7,124.05,103.91
Acacia,nigrescens,Knob thorn,Acacia nigrescens,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,notabilis,Notable Wattle,Acacia notabilis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,nyssophylla,Prickly Wattle,Acacia nyssophylla,17.42,13.78,51.51,486.4,32.01,5.23,288.53,99.24,47.26,37.27
Acacia,obliquinervia,Mountain Hickory Wattle,Acacia obliquinervia,10.33,9.48,43.32,444.75,22.49,0.64,1155.42,364.32,208.72,187.93
Acacia,omalophylla,Yarran,Acacia omalophylla,18.42,13.58,46.4,589.36,33.32,4.05,462.2,152.43,87.21,54.37
Acacia,oswaldii,Umbrella Wattle,Acacia oswaldii,18.3,13.7,48.98,536.42,33.09,5.0,321.2,109.99,54.47,39.88
